教科名大,教科名 ,満点,科目名 ,受験者数 ,平均点 ,最高点 ,最低点 ,標準偏差 
国語,国語,200,国語,505214,111.29,200,0,33.1
地理歴史,地理歴史,100,世界史Ａ,2092,48.42,100,6,21.77
地理歴史,地理歴史,100,世界史Ｂ,88303,61.46,100,0,21.17
地理歴史,地理歴史,100,日本史Ａ,4622,52.01,100,0,17.1
地理歴史,地理歴史,100,日本史Ｂ,152970,64.11,100,0,18.88
地理歴史,地理歴史,100,地理Ａ,5341,52.58,98,10,14.99
地理歴史,地理歴史,100,地理Ｂ,113769,66.4,100,0,16.48
公民,公民,100,現代社会,177843,61.76,100,0,15.15
公民,公民,100,倫理,58278,69.42,100,0,15.86
公民,公民,100,政治・経済,88758,58.97,100,0,18.72
数学,数学１,100,数学I,8614,44.14,100,0,20.21
数学,数学１,100,数学I・数学Ａ,377714,65.95,100,0,20.52
数学,数学２,100,数学II,7185,31.73,100,0,18.29
数学,数学２,100,数学II・数学Ｂ,340620,52.46,100,0,24.08
数学,数学２,100,工業数理基礎,60,42.87,88,5,20.13
数学,数学２,100,簿記・会計,1372,50.94,98,6,18.74
数学,数学２,100,情報関係基礎,650,63.46,100,12,18.76
理科,理科１,100,理科総合Ｂ,20160,54.58,97,0,14.35
理科,理科１,100,生物I,190693,63.36,100,0,20.21
理科,理科２,100,理科総合Ａ,37109,55.63,100,0,15.39
理科,理科２,100,化学I,213757,56.57,100,0,20.96
理科,理科３,100,物理I,152627,64.08,100,0,18.59
理科,理科３,100,地学I,25231,64.3,100,3,23.27
外国語,筆記,200,英語,519538,122.78,200,0,41.24
外国語,筆記,200,ドイツ語,132,142.17,200,32,48.41
外国語,筆記,200,フランス語,151,142.38,200,25,41.25
外国語,筆記,200,中国語,392,134.14,196,0,38.11
外国語,筆記,200,韓国語,163,149.89,196,32,34.01
外国語,リスニング,50,英語,513817,25.17,50,0,9.55
