country,average_age,year
Malaysia,23,2007
India,22.9,2007
Singapore,22.8,2007
China,22.1,2007
Thailand,20.5,2007
Hong Kong,20.2,2007
Vietnam,19.7,2005
Nigeria,19.7,2007
Japan,19.4,2007
Spain,19.2,2007
Indonesia,19.1,2005
Poland,19,2007
Italy,18.9,2007
Taiwan,18.9,2005
Russia,18.7,2007
Mexico,18.7,2007
South Africa,18.7,2007
France,18.5,2007
United Kingdom,18.3,2007
Switzerland,18.2,2007
Canada,18.1,2007
Netherlands,18.1,2007
Greece,18.1,2007
United States,18,2005
Australia,17.9,2007
Turkey,17.8,2005
New Zealand,17.8,2007
Slovakia,17.8,2005
Germany,17.6,2007
Brazil,17.4,2007
Ireland,17.3,2005
Croatia,17.3,2005
Austria,17.3,2007
Czech Republic,17.2,2005
Chile,17.2,2005
Belgium,17.2,2005
Portugal,16.9,2005
Bulgaria,16.9,2005
Israel,16.7,2005
Finland,16.5,2005
Norway,16.5,2005
Sweden,16.2,2005
Denmark,16.1,2005
Iceland,15.6,2005
