年,男修士,男大卒,男高専短大,男高卒,女修士,女大卒,女高専短大,女高卒
1976,・,97.1,86.4,80.6,・,87.9,82.4,76.0
1977,・,104.1,92.2,85.5,・,96.0,89.3,81.6
1978,・,108.2,96.6,89.6,・,100.9,92.3,84.4
1979,・,111.8,99.1,91.4,・,105.6,95.2,87.1
1980,・,116.9,104.2,95.8,・,110.8,99.4,90.4
1981,・,123.2,110.2,101.7,・,117.9,104.6,95.7
1982,・,129.6,116.2,106.9,・,121.5,109.4,100.5
1983,・,134.7,118.7,109.3,・,126.8,112.4,103.6
1984,・,138.3,123.7,110.9,・,129.8,115.5,106.3
1985,・,142.1,126.2,114.4,・,136.0,119.5,109.9
1986,・,147.4,130.1,119.0,・,141.9,123.7,113.1
1987,・,150.6,131.7,121.4,・,144.9,126.0,115.1
1988,・,155.0,134.3,122.5,・,151.0,130.6,118.7
1989,・,162.7,141.6,128.4,・,156.8,135.1,123.0
1990,・,171.8,149.9,135.4,・,165.3,141.7,129.9
1991,・,181.3,157.3,142.4,・,173.4,148.6,137.5
1992,・,188.3,162.8,147.9,・,182.0,154.2,143.1
1993,・,191.7,166.2,152.0,・,182.9,157.4,147.1
1994,・,193.7,168.7,155.1,・,185.0,159.8,149.5
1995,・,196.0,167.3,153.9,・,185.6,160.4,149.4
1996,・,194.6,168.2,154.7,・,185.2,157.6,150.5
1997,・,195.1,167.1,154.6,・,187.0,160.5,149.2
1998,・,195.7,172.9,156.6,・,184.7,161.1,151.2
1999,・,197.2,172.4,157.3,・,186.8,161.0,152.0
2000,・,199.0,173.6,156.1,・,187.1,163.3,153.3
2001,・,200.0,172.4,158.4,・,188.7,162.9,153.1
2002,・,201.3,174.6,157.8,・,189.4,164.4,151.5
2003,・,201.5,173.0,158.0,・,192.3,164.2,152.0
2004,・,199.9,174.1,159.3,・,191.8,164.4,151.0
2005,223.0,196.4,173.9,157.6,219.5,189.2,164.7,154.4
2006,227.6,200.9,174.2,158.7,228.5,192.1,171.0,153.6
2007,225.3,200.5,175.0,159.0,233.2,192.1,172.7,154.5
2008,226.1,202.0,175.5,161.3,226.8,195.0,177.3,157.9
2009,229.0,203.4,179.3,162.0,231.8,195.9,184.9,159.6
2010,226.9,201.2,177.7,160.0,227.1,194.5,171.5,156.6
2011,233.9,207.5,178.0,160.3,245.9,207.1,188.2,155.9
2012,229.4,204.0,177.7,159.8,234.7,199.6,177.5,157.6
2013,231.4,203.6,181.5,161.2,240.6,200.9,186.7,157.4
2014,231.8,205.5,178.0,161.5,236.9,200.5,178.7,159.2
2015,232.0,206.9,180.9,163.1,233.6,203.1,185.2,160.9
2016,234.9,209.5,184.1,164.9,234.4,203.5,185.0,160.8
2017,236.8,212.6,183.4,164.9,239.6,209.2,182.6,161.7
