しこ名,身長,体重
玉鷲 一朗,188.0,174.0
旭秀鵬 滉規,190.0,147.0
朝乃山 英樹,188.0,165.0
豪風 旭,171.0,150.0
大砂嵐 金太郎,189.0,152.0
誉富士 歓之,180.0,166.0
阿炎 政虎,187.0,132.0
臥牙丸 勝,185.0,194.0
琴奨菊 和弘,180.0,178.0
北勝富士 大輝,185.0,160.0
嘉風 雅継,177.0,145.0
天風 健人,185.0,202.0
千代大龍 秀政,182.0,190.0
荒鷲 毅,185.0,135.0
錦木 徹也,186.0,176.0
竜電 剛至,190.0,149.0
逸ノ城 駿,191.0,206.0
照ノ富士 春雄,192.0,187.0
輝 大士,193.0,160.0
稀勢の里 寛,187.0,184.0
阿武咲 奎也,176.0,165.0
大栄翔 勇人,182.0,154.0
大成道 喜悌,177.0,136.0
白鵬 翔,192.0,157.0
豪栄道 豪太郎,183.0,161.0
大奄美 元規,185.0,186.0
貴景勝 光信,175.0,168.0
栃ノ心 剛史,191.0,173.0
日馬富士 公平,186.0,137.0
貴源治 賢,191.0,160.0
隠岐の海 歩,188.0,165.0
東龍 強,190.0,156.0
松鳳山 裕也,178.0,140.0
千代の国 憲輝,183.0,143.0
旭大星 託也,184.0,145.0
勢 翔太,193.0,172.0
佐田の海 貴士,182.0,145.0
豊山 亮太,184.0,179.0
琴恵光 充憲,176.0,134.0
隆の勝 伸明,183.0,150.0
鶴竜 力三郎,186.0,158.0
剣翔 桃太郎,184.0,171.0
蒼国来 栄吉,185.0,140.0
石浦 将勝,173.0,120.0
山口 雅弘,181.0,158.0
碧山 亘右,191.0,197.0
御嶽海 久司,179.0,161.0
千代丸 一樹,179.0,191.0
妙義龍 泰成,186.0,149.0
豊響 隆太,185.0,181.0
宝富士 大輔,185.0,171.0
千代鳳 祐樹,178.0,181.0
大翔丸 翔伍,174.0,156.0
貴ノ岩 義司,182.0,150.0
宇良 和輝,172.0,135.0
英乃海 拓也,185.0,160.0
矢後 太規,186.0,176.0
明生 力,178.0,146.0
魁聖 一郎,195.0,192.0
高安 晃,185.0,182.0
栃煌山 雄一郎,187.0,152.0
千代翔馬 富士雄,184.0,136.0
正代 直也,184.0,162.0
遠藤 聖大,183.0,153.0
千代ノ皇 王代仁,179.0,151.0
徳勝龍 誠,181.0,180.0
青狼 武士,185.0,141.0
照強 翔輝,168.0,115.0
琴勇輝 一巖,176.0,174.0
安美錦 竜児,184.0,142.0
