年度,GDP,GDP名目成長率,GDP実質成長率
1960,17321.1,20.0,12.0
1961,20945.4,20.9,11.7
1962,23186.2,10.7,7.5
1963,27235.8,17.5,10.4
1964,31567.1,15.9,9.5
1965,35061.9,11.1,6.2
1966,41223.4,17.6,11.0
1967,48228.9,17.0,11.0
1968,57057.0,18.3,12.4
1969,67559.8,18.4,12.0
1970,78190.0,15.7,8.2
1971,86082.7,10.1,5.0
1972,100191.5,16.4,9.1
1973,121197.0,21.0,5.1
1974,143767.7,18.6,-0.5
1975,158212.4,10.0,4.0
1976,177871.2,12.4,3.8
1977,197394.3,11.0,4.5
1978,216612.7,9.7,5.4
1979,233886.5,8.0,5.1
1980,254975.8,9.0,2.6
1981,271673.8,6.5,3.9
1982,283501.1,4.4,3.1
1983,296446.0,4.6,3.5
1984,316429.0,6.7,4.8
1985,339176.2,7.2,6.3
1986,351361.2,3.6,1.9
1987,371923.7,5.9,6.1
1988,397987.3,7.0,6.4
1989,426936.2,7.3,4.6
1990,463685.2,8.6,6.2
1991,486192.4,4.9,2.3
1992,496096.8,2.0,0.7
1993,495431.6,-0.1,-0.5
1994,502382.7,1.4,1.5
1995,516706.5,2.9,3.5
1996,528666.1,2.3,2.7
1997,533148.7,0.8,0.0
1998,526109.0,-1.3,-0.8
1999,521997.3,-0.8,0.7
2000,528621.2,1.3,2.5
2001,518889.2,-1.8,-0.6
2002,514675.0,-0.8,0.9
2003,518199.8,0.7,2.1
2004,521003.9,0.5,1.5
2005,525813.9,0.9,2.1
2006,529255.0,0.7,1.4
2007,531013.4,0.3,1.2
2008,509398.4,-4.1,-3.5
2009,492075.1,-3.4,-2.2
2010,499194.8,1.4,3.2
2011,493853.1,-1.1,0.5
2012,494674.4,0.2,0.9
2013,507401.1,2.6,2.6
2014,517866.6,2.1,-0.4
2015,532191.4,2.8,1.3
