年度,GDP,GDP名目成長率,GDP実質成長率,GNI名目成長率,GNI実質成長率,国民所得,国民所得前年度比,名目雇用者報酬,名目雇用者報酬前年度比,1人当たりGDP,1人当たり雇用者報酬前年度比
1960,17321.1,20,12,19.9,11.9,13496.7,22.2,6702,16.3,181,-
1961,20945.4,20.9,11.7,20.9,11.7,16081.9,19.2,7988.7,19.2,217,-
1962,23186.2,10.7,7.5,10.6,7.5,17893.3,11.3,9425.6,18,238,-
1963,27235.8,17.5,10.4,17.4,10.4,21099.3,17.9,11027.3,17,277,-
1964,31567.1,15.9,9.5,15.8,9.4,24051.4,14,12961.2,17.5,317,-
1965,35061.9,11.1,6.2,11.1,6.2,26827,11.5,14980.6,15.6,349,-
1966,41223.4,17.6,11,17.6,11.1,31644.8,18,17208.9,14.9,406,-
1967,48228.9,17,11,17,11,37547.7,18.7,19964.5,16,471,-
1968,57057,18.3,12.4,18.3,12.3,43720.9,16.4,23157.7,16,550,-
1969,67559.8,18.4,12,18.4,12,52117.8,19.2,27488.7,18.7,644,-
1970,78190,15.7,8.2,15.8,8.3,61029.7,17.1,33293.9,21.1,735,-
1971,86082.7,10.1,5,10.2,5.1,65910.5,8,38896.6,16.8,794,13.8
1972,100191.5,16.4,9.1,16.6,9.3,77936.9,18.2,45702,17.5,911,14.9
1973,121197,21,5.1,20.9,5,95839.6,23,57402.8,25.6,1087,21.7
1974,143767.7,18.6,-0.5,18.4,-0.7,112471.6,17.4,73752.4,28.5,1272,27.7
1975,158212.4,10,4,10.2,4.1,123990.7,10.2,83851.8,13.7,1382,12.8
1976,177871.2,12.4,3.8,12.4,3.8,140397.2,13.2,94328.6,12.5,1537,11
1977,197394.3,11,4.5,11,4.6,155703.2,10.9,104997.8,11.3,1689,10
1978,216612.7,9.7,5.4,9.9,5.5,171778.5,10.3,112800.6,7.4,1837,6.6
1979,233886.5,8,5.1,8,5.1,182206.6,6.1,122126.2,8.3,1967,6.1
1980,254975.8,9,2.6,8.9,2.4,203878.7,9.5,131850.4,8.7,2123,5.6
1981,271673.8,6.5,3.9,6.5,3.9,211615.1,3.8,142097.7,7.8,2246,6.4
1982,283501.1,4.4,3.1,4.6,3.1,220131.4,4,150232.9,5.7,2328,3.8
1983,296446,4.6,3.5,4.7,3.7,231290,5.1,157301.3,4.7,2417,2.3
1984,316429,6.7,4.8,6.8,4.9,243117.2,5.1,166017.3,5.5,2564,4.1
1985,339176.2,7.2,6.3,7.3,6.7,260559.9,7.2,173977,4.8,2731,3.7
1986,351361.2,3.6,1.9,3.6,3.7,267941.5,2.8,180189.4,3.6,2815,2.3
1987,371923.7,5.9,6.1,6.1,6,281099.8,4.9,187098.9,3.8,2965,2.2
1988,397987.3,7,6.4,7,6.6,302710.1,7.7,198486.5,6.1,3160,3.3
1989,426936.2,7.3,4.6,7.5,4.6,320802,6,213309.1,7.5,3378,4.3
1990,463685.2,8.6,6.2,8.4,5.6,346892.9,8.1,231261.5,8.4,3655,4.6
1991,486192.4,4.9,2.3,4.9,2.7,368931.6,6.4,248310.9,7.4,3818,4.1
1992,496096.8,2,0.7,2.3,1,366007.2,-0.8,254844.4,2.6,3883,0.5
1993,495431.6,-0.1,-0.5,-0.2,-0.4,365376,-0.2,260704.4,2.3,3865,0.9
1994,502382.7,1.4,1.5,1.3,1.5,368350.6,1.3,262296.2,1.8,4012,0
1995,516706.5,2.9,3.5,3,3.9,378479.6,2.7,266599.7,1.6,4117,0.9
1996,528666.1,2.3,2.7,2.6,2.6,391360.5,3.4,272460.4,2.2,4203,0.9
1997,533148.7,0.8,0,0.9,0.1,388483.7,-0.7,278548.6,2.2,4228,1.4
1998,526109,-1.3,-0.8,-1.5,-0.8,378239.6,-2.6,272888.9,-2,4162,-1.3
1999,521997.3,-0.8,0.7,-0.6,0.8,377003.2,-0.3,268738.8,-1.5,4122,-1
2000,528621.2,1.3,2.5,1.5,2.6,385968.5,2.4,270336.4,0.6,4166,-0.3
2001,518889.2,-1.8,-0.6,-1.8,-0.7,374307.8,-3,264262.6,-2.2,4079,-1.9
2002,514675,-0.8,0.9,-0.9,0.8,372648.7,-0.4,256407.8,-3,4038,-2.5
2003,518199.8,0.7,2.1,0.9,2.2,377952.1,1.4,253127.2,-1.3,4058,-1.5
2004,521003.9,0.5,1.5,0.8,1.5,382681.9,1.3,253951.6,0.3,4078,0
2005,525813.9,0.9,2.1,1.3,1.6,387355.7,1.2,257956.2,1.6,4116,0.3
2006,529255,0.7,1.4,1,1.2,392351.3,1.3,260787.4,1.1,4139,-0.2
2007,531013.4,0.3,1.2,0.6,0.6,392297.9,0,262934.7,0.8,4148,0
2008,509398.4,-4.1,-3.5,-4.7,-4.8,363991.3,-7.2,262626.2,-0.1,3978,-0.2
2009,492075.1,-3.4,-2.2,-3.3,-1.1,353422.2,-2.9,251072.9,-4.4,3843,-3.4
2010,499194.8,1.4,3.2,1.6,2.7,361924.1,2.4,252199.9,0.4,3899,0.1
2011,493853.1,-1.1,0.5,-1,-0.6,358402.9,-1,253919.3,0.7,3866,0.8
2012,494674.4,0.2,0.9,0.2,1,359826.7,0.4,253102.5,-0.3,3880,-0.5
2013,507401.1,2.6,2.6,3.2,3,374006.3,3.9,254872.7,0.7,3986,-0.3
2014,517866.6,2.1,-0.4,2.4,0.2,378318.3,1.2,259505.2,1.8,4076,1
2015,532191.4,2.8,1.3,2.8,2.7,388460.4,2.7,263420.4,1.5,4191,0.5
