年,タイム,風速,選手,国,場所,日付
1964,10.06,1.1,ボブ・ヘイズ,アメリカ合衆国,東京,1964-10-15
1968,10.03,0.9,ジム・ハインズ,アメリカ合衆国,サクラメント,1968-06-20
1968,10.02,2,チャールズ・エドワード・グリーン,アメリカ合衆国,メキシコシティ,1968-10-13
1968,9.95,0.3,ジム・ハインズ,アメリカ合衆国,メキシコシティ,1968-10-14
1972,10.07,0,ワレリー・ボルゾフ,ソビエト連邦,ミュンヘン,1972-08-31
1975,10.05,-1.2,スティーブ・リディック（英語版）,アメリカ合衆国,チューリッヒ,1975-08-20
1976,10.06,-0.1,ヘイズリー・クロフォード,トリニダード・トバゴ,モントリオール,1976-07-24
1977,9.98,0.6,シルビオ・レオナルド,キューバ,グアダラハラ,1977-08-11
1978,10.07,1.7,クランシー・エドワーズ（英語版）,アメリカ合衆国,ユージーン,1978-06-02
1978,10.07,1.8,エドワード・ハート（英語版）,アメリカ合衆国,コロラドスプリングス,1978-07-30
1978,10.07,-0.1,スティーブ・ウィリアムズ（英語版）,アメリカ合衆国,チューリッヒ,1978-08-16
1979,10.01,0.9,ピエトロ・メンネア,イタリア,メキシコシティ,1979-09-04
1980,10.02,1,ジェームズ・サンフォード（英語版）,アメリカ合衆国,ウェストウッド,1980-05-11
1981,10,0,カール・ルイス,アメリカ合衆国,ダラス,1981-05-16
1982,10,1.9,カール・ルイス,アメリカ合衆国,モデスト,1982-05-15
1983,9.93,1.4,カルヴィン・スミス,アメリカ合衆国,コロラドスプリングス,1983-07-03
1984,9.96,0.1,メル・ラッタニー（英語版）,アメリカ合衆国,アテネ,1984-05-05
1985,9.98,1.6,カール・ルイス,アメリカ合衆国,モデスト,1985-05-11
1986,10,1,チディ・イモー,ナイジェリア,ベルリン,1986-08-15
1987,9.93,1,カール・ルイス,アメリカ合衆国,ローマ,1987-08-30
1988,9.93,1.1,カール・ルイス,アメリカ合衆国,チューリッヒ,1988-08-17
1988,9.92,1.1,カール・ルイス,アメリカ合衆国,ソウル,1988-09-24
1989,9.94,0.8,リロイ・バレル,アメリカ合衆国,ヒューストン,1989-06-16
1990,9.96,0.7,リロイ・バレル,アメリカ合衆国,ヴィルヌーヴ＝ダスク,1990-06-29
1991,9.9,1.9,リロイ・バレル,アメリカ合衆国,ニューヨーク,1991-06-14
1991,9.86,1.2,カール・ルイス,アメリカ合衆国,東京,1991-08-25
1992,9.93,-0.6,マイク・マーシュ,アメリカ合衆国,ウォルナット,1992-04-18
1993,9.87,0.3,リンフォード・クリスティ,イギリス,シュトゥットガルト,1993-08-15
1994,9.85,1.2,リロイ・バレル,アメリカ合衆国,ローザンヌ,1994-07-06
1995,9.91,1.3,ドノバン・ベイリー,カナダ,モントリオール,1995-07-15
1996,9.84,0.7,ドノバン・ベイリー,カナダ,アトランタ,1996-07-27
1997,9.86,0.2,モーリス・グリーン,アメリカ合衆国,アテネ,1997-08-03
1998,9.86,1.8,アト・ボルドン,トリニダード・トバゴ,ウォルナット,1998-04-19
1999,9.79,0.1,モーリス・グリーン,アメリカ合衆国,アテネ,1999-06-16
2000,9.86,-0.2,モーリス・グリーン,アメリカ合衆国,ベルリン,2000-09-01
2001,9.82,-0.2,モーリス・グリーン,アメリカ合衆国,エドモントン,2001-08-05
2002,9.89,0.9,モーリス・グリーン,アメリカ合衆国,ローマ,2002-07-12
2003,9.93,1.8,パトリック・ジョンソン,オーストラリア,水戸,2003-05-05
2004,9.85,0.6,ジャスティン・ガトリン,アメリカ合衆国,アテネ,2004-08-22
2005,9.77,1.6,アサファ・パウエル,ジャマイカ,アテネ,2005-06-14
2006,9.77,1.5,アサファ・パウエル,ジャマイカ,ゲーツヘッド,2006-06-11
2006,9.77,1,アサファ・パウエル,ジャマイカ,チューリッヒ,2006-08-18
2007,9.74,1.7,アサファ・パウエル,ジャマイカ,リエーティ,2007-09-09
2008,9.72,1.7,ウサイン・ボルト,ジャマイカ,ニューヨーク,2008-05-31
2008,9.69,0,ウサイン・ボルト,ジャマイカ,北京,2008-08-16
2009,9.58,0.9,ウサイン・ボルト,ジャマイカ,ベルリン,2009-08-16
2010,9.78,-0.4,タイソン・ゲイ,アメリカ合衆国,ロンドン,2010-08-13
2010,9.78,0.9,ネスタ・カーター,ジャマイカ,リエーティ,2010-08-29
2011,9.76,1.3,ウサイン・ボルト,ジャマイカ,ブリュッセル,2011-09-16
2012,9.63,1.5,ウサイン・ボルト,ジャマイカ,ロンドン,2012-08-05
2013,9.77,-0.3,ウサイン・ボルト,ジャマイカ,モスクワ,2013-08-11
2014,9.77,0.6,ジャスティン・ガトリン,アメリカ合衆国,ブリュッセル,2014-09-05
2015,9.74,0.9,ジャスティン・ガトリン,アメリカ合衆国,ドーハ,2015-05-15
2016,9.8,1.6,ジャスティン・ガトリン,アメリカ合衆国,ユージーン,2016-07-03
